,0
0,60.05859375
1,63.3544921875
2,70.6787109375
3,68.115234375
4,62.98828125
5,64.8193359375
6,65.91796875
7,60.791015625
8,60.05859375
9,58.2275390625
10,53.466796875
11,55.6640625
12,56.0302734375
13,63.3544921875
14,62.255859375
15,61.5234375
16,60.4248046875
17,60.05859375
18,63.720703125
19,62.255859375
20,65.185546875
21,63.720703125
22,66.650390625
23,65.91796875
24,61.8896484375
25,65.185546875
26,66.650390625
27,65.91796875
28,61.5234375
29,64.8193359375
30,61.8896484375
31,60.05859375
32,63.3544921875
33,68.115234375
34,68.84765625
35,68.4814453125
36,63.3544921875
37,63.720703125
38,68.115234375
39,67.0166015625
40,72.8759765625
41,70.3125
42,71.77734375
43,71.77734375
44,63.3544921875
45,68.115234375
46,65.185546875
47,64.453125
48,63.720703125
49,69.2138671875
50,67.7490234375
51,62.98828125
52,54.19921875
53,54.931640625
54,55.6640625
55,57.4951171875
56,57.4951171875
57,60.791015625
58,70.6787109375
59,70.3125
60,73.974609375
61,67.0166015625
62,72.509765625
63,72.8759765625
64,70.6787109375
65,66.650390625
66,65.91796875
67,65.91796875
68,66.650390625
