,0
0,39.55078125
1,39.55078125
2,39.55078125
3,39.55078125
4,39.55078125
5,39.55078125
6,39.55078125
7,39.55078125
8,39.55078125
9,39.55078125
10,39.55078125
11,39.55078125
12,39.55078125
13,39.55078125
14,39.55078125
15,39.55078125
16,39.55078125
17,39.55078125
18,39.55078125
19,39.55078125
20,39.55078125
21,39.55078125
22,39.55078125
23,39.55078125
24,39.55078125
25,39.55078125
26,39.55078125
27,39.55078125
28,39.55078125
29,39.55078125
30,39.55078125
31,39.55078125
32,39.55078125
33,39.55078125
34,39.55078125
35,39.55078125
36,39.55078125
37,39.55078125
38,39.55078125
39,39.55078125
40,39.55078125
41,39.55078125
42,39.55078125
43,39.55078125
44,39.55078125
45,39.55078125
46,39.55078125
47,39.55078125
48,39.55078125
49,39.55078125
50,39.55078125
51,39.55078125
52,39.55078125
53,39.55078125
54,39.55078125
55,39.55078125
56,39.55078125
57,39.55078125
58,39.55078125
59,39.55078125
60,39.55078125
61,39.55078125
62,39.55078125
63,39.55078125
64,39.55078125
65,39.55078125
66,39.55078125
67,39.55078125
68,39.55078125
69,39.55078125
70,39.55078125
71,39.55078125
72,39.55078125
73,39.55078125
74,39.55078125
75,39.55078125
76,39.55078125
77,39.55078125
78,39.55078125
79,39.55078125
80,39.55078125
81,39.55078125
82,39.55078125
83,39.55078125
84,39.55078125
85,39.55078125
86,39.55078125
87,39.55078125
88,39.55078125
89,39.55078125
90,39.55078125
91,39.55078125
92,39.55078125
93,39.55078125
94,39.55078125
95,39.55078125
96,39.55078125
97,39.55078125
98,39.55078125
99,39.55078125
100,39.55078125
101,39.55078125
102,39.55078125
103,39.55078125
104,39.55078125
105,39.55078125
106,39.55078125
107,39.55078125
108,39.55078125
109,39.55078125
110,39.55078125
