,0
0,60.05859375
1,60.791015625
2,58.9599609375
3,60.791015625
4,59.326171875
5,63.720703125
6,69.580078125
7,69.580078125
8,69.9462890625
9,61.1572265625
10,62.255859375
11,66.650390625
12,68.4814453125
13,73.6083984375
14,67.3828125
15,71.044921875
16,70.6787109375
17,65.5517578125
18,62.98828125
19,69.2138671875
20,71.044921875
21,73.2421875
22,75.8056640625
23,73.974609375
24,73.974609375
25,73.974609375
26,77.63671875
27,78.0029296875
28,72.8759765625
29,62.6220703125
30,66.650390625
31,62.255859375
32,64.453125
33,65.185546875
34,56.0302734375
35,57.861328125
36,56.396484375
37,54.19921875
38,55.2978515625
39,56.396484375
40,56.7626953125
41,65.185546875
42,64.8193359375
43,65.185546875
44,69.2138671875
45,70.6787109375
46,69.580078125
47,71.044921875
48,72.509765625
49,78.369140625
50,70.6787109375
51,68.84765625
52,68.4814453125
53,66.2841796875
54,67.3828125
55,62.6220703125
56,69.2138671875
57,73.974609375
58,73.974609375
59,76.171875
60,73.6083984375
61,70.3125
62,63.720703125
63,62.98828125
64,63.720703125
65,66.650390625
66,64.8193359375
67,65.5517578125
68,69.9462890625
69,75.8056640625
70,76.904296875
71,69.2138671875
72,65.5517578125
73,64.453125
74,64.453125
75,67.7490234375
76,69.580078125
77,65.91796875
78,66.650390625
79,68.84765625
80,61.8896484375
81,57.12890625
82,59.326171875
83,61.1572265625
84,64.453125
85,60.791015625
86,62.98828125
87,64.8193359375
88,67.0166015625
89,69.580078125
90,75.8056640625
91,75.439453125
92,67.7490234375
93,65.91796875
94,61.5234375
95,62.98828125
96,67.7490234375
97,67.3828125
98,74.3408203125
99,71.4111328125
100,83.8623046875
101,76.904296875
102,72.509765625
103,59.6923828125
104,60.05859375
105,76.904296875
106,79.833984375
107,78.369140625
108,77.63671875
109,76.171875
110,72.8759765625
111,71.77734375
112,71.044921875
113,67.3828125
114,61.1572265625
115,65.5517578125
116,67.3828125
117,80.9326171875
118,77.2705078125
119,71.4111328125
120,69.2138671875
121,65.91796875
122,68.115234375
123,67.7490234375
124,57.861328125
125,58.59375
126,76.171875
127,76.904296875
128,76.904296875
129,68.84765625
130,67.0166015625
131,66.650390625
132,67.3828125
133,67.0166015625
134,71.77734375
135,67.0166015625
136,63.3544921875
137,66.2841796875
138,67.0166015625
139,70.3125
140,80.2001953125
141,79.1015625
142,78.0029296875
143,74.70703125
144,75.8056640625
145,75.8056640625
146,72.509765625
147,71.044921875
148,74.3408203125
