,0
0,72.509765625
1,82.763671875
2,82.763671875
3,82.3974609375
4,81.298828125
5,81.298828125
6,82.3974609375
7,82.763671875
8,83.49609375
9,84.9609375
10,84.228515625
11,83.49609375
12,82.03125
13,80.56640625
14,79.833984375
15,80.56640625
16,82.03125
17,83.49609375
18,82.763671875
19,80.56640625
20,76.904296875
21,74.70703125
22,76.5380859375
23,78.369140625
24,78.369140625
25,79.833984375
26,81.298828125
27,83.49609375
28,83.49609375
29,81.298828125
30,77.63671875
31,73.974609375
32,74.70703125
33,75.8056640625
34,74.70703125
35,73.974609375
36,74.70703125
37,74.70703125
38,74.70703125
39,76.904296875
40,78.369140625
41,78.369140625
42,75.439453125
43,74.70703125
44,75.439453125
45,75.439453125
46,73.2421875
47,72.509765625
48,73.6083984375
49,75.439453125
50,76.171875
51,69.580078125
52,74.3408203125
53,78.0029296875
54,79.4677734375
55,82.03125
56,89.35546875
57,93.017578125
58,90.8203125
59,88.623046875
60,87.890625
61,87.158203125
62,81.6650390625
63,80.56640625
64,79.1015625
65,77.2705078125
66,76.171875
67,76.171875
68,76.171875
